"","Genus_Species","Order","Suborder","Family","Subfamily","Genus","Species","SVL_mm","Mass_g","rootmass","ED_right_mm","ED_left_mm","eyemean","CD_right_mm","CD_left_mm","cormean","Gill_Presence","Aquatic","Semiaquatic","Terrestrial","Scansorial","Fossorial","Subfossorial","Cave_dwelling","Nocturnal","Diurnal","Paedomorphic","Metamorphosizing","Direct_Development","Free_living","No_free_living","Lentic_water","Lotic_water","Both_water","No_larva","Females_larger","Males_larger","No_SSD"
"65","Aneides_flavipunctatus","Caudata","Salamandroidea","Plethodontidae","Plethodontinae","Aneides","flavipunctatus",52,1.33,1.09972444888627,2.72,2.82,2.77,2.2,1.89,2.045,"no","no","no","yes","no","no","no","no","yes","no","no","no","yes","no","yes","no","no","no","yes","no","no","yes"
"66","Aneides_hardii","Caudata","Salamandroidea","Plethodontidae","Plethodontinae","Aneides","hardii",46,1.02,1.00662270956011,2.72,2.69,2.705,2,1.78,1.89,"no","no","no","yes","yes","no","no","no","yes","yes","no","no","yes","no","yes","no","no","no","yes","no","yes","no"
"67","Aneides_hardii","Caudata","Salamandroidea","Plethodontidae","Plethodontinae","Aneides","hardii",44,1.03,1.00990163404996,2.54,2.7,2.62,1.58,1.63,1.605,"no","no","no","yes","yes","no","no","no","yes","yes","no","no","yes","no","yes","no","no","no","yes","no","yes","no"
"68","Aneides_hardii","Caudata","Salamandroidea","Plethodontidae","Plethodontinae","Aneides","hardii",49,1.77,1.20964450089633,3.04,3.01,3.025,1.98,1.97,1.975,"no","no","no","yes","yes","no","no","no","yes","yes","no","no","yes","no","yes","no","no","no","yes","no","yes","no"
"69","Aneides_lugubris","Caudata","Salamandroidea","Plethodontidae","Plethodontinae","Aneides","lugubris",82,7.82,1.984886072302,4.66,4.44,4.55,3.28,3.07,3.175,"no","no","no","yes","yes","no","no","no","yes","no","no","no","yes","no","yes","no","no","no","yes","yes","no","no"
"70","Aneides_lugubris","Caudata","Salamandroidea","Plethodontidae","Plethodontinae","Aneides","lugubris",86,5.91,1.80798917945857,4.57,4.57,4.57,3.75,3.58,3.665,"no","no","no","yes","yes","no","no","no","yes","no","no","no","yes","no","yes","no","no","no","yes","yes","no","no"
"71","Aneides_lugubris","Caudata","Salamandroidea","Plethodontidae","Plethodontinae","Aneides","lugubris",86,7.87,1.98910745054782,5.03,4.98,5.005,3.94,3.7,3.82,"no","no","no","yes","yes","no","no","no","yes","no","no","no","yes","no","yes","no","no","no","yes","yes","no","no"
"72","Aneides_niger","Caudata","Salamandroidea","Plethodontidae","Plethodontinae","Aneides","niger",76,6.1,1.82716013686352,3.62,3.54,3.58,2.78,2.8,2.79,"no","no","yes","no","no","no","no","no","yes","no","no","no","yes","no","yes","no","no","no","yes","no","yes","no"
"73","Aneides_niger","Caudata","Salamandroidea","Plethodontidae","Plethodontinae","Aneides","niger",73,4.91,1.69965390878522,3.39,3.49,3.44,2.38,2.53,2.455,"no","no","yes","no","no","no","no","no","yes","no","no","no","yes","no","yes","no","no","no","yes","no","yes","no"
"74","Aneides_niger","Caudata","Salamandroidea","Plethodontidae","Plethodontinae","Aneides","niger",72,4.94,1.70310849940527,3.2,3.38,3.29,2.46,2.5,2.48,"no","no","yes","no","no","no","no","no","yes","no","no","no","yes","no","yes","no","no","no","yes","no","yes","no"
"75","Aneides_vagrans","Caudata","Salamandroidea","Plethodontidae","Plethodontinae","Aneides","vagrans",70,3.98,1.58475096181144,3.38,3.4,3.39,2.21,2.3,2.255,"no","no","no","yes","yes","no","no","no","yes","no","no","no","yes","no","yes","no","no","no","yes","NA","NA","NA"
"76","Aneides_vagrans","Caudata","Salamandroidea","Plethodontidae","Plethodontinae","Aneides","vagrans",71,4.21,1.61470813002311,3.37,3.6,3.485,2.36,2.66,2.51,"no","no","no","yes","yes","no","no","no","yes","no","no","no","yes","no","yes","no","no","no","yes","NA","NA","NA"
"77","Aneides_vagrans","Caudata","Salamandroidea","Plethodontidae","Plethodontinae","Aneides","vagrans",65,3.64,1.53827433619624,3.45,3.54,3.495,2.72,2.57,2.645,"no","no","no","yes","yes","no","no","no","yes","no","no","no","yes","no","yes","no","no","no","yes","NA","NA","NA"
"78","Batrachoseps_attenuatus","Caudata","Salamandroidea","Plethodontidae","Hemidactyliinae","Batrachoseps","attenuatus",40,1,1,1.83,1.91,1.87,1.27,1.33,1.3,"no","no","no","yes","no","yes","no","no","yes","no","no","no","yes","no","yes","no","no","no","yes","NA","NA","NA"
"79","Batrachoseps_attenuatus","Caudata","Salamandroidea","Plethodontidae","Hemidactyliinae","Batrachoseps","attenuatus",42,0.93,0.976100007668508,1.85,1.95,1.9,1.31,1.39,1.35,"no","no","no","yes","no","yes","no","no","yes","no","no","no","yes","no","yes","no","no","no","yes","NA","NA","NA"
