,Genus_Species,eye_av,cor_av,svl_av,rootmass_av,n,Order,Suborder,Family,Subfamily,Genus,Species,Activity Period,Adult Habitat,Development,Life History,Larval Habitat,pglsres.cdmass
83,Hydromantes_platycephalus,3.84833333333333,2.755,54.6666666666667,1.31471403929461,3,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Hydromantes,platycephalus,nocturnal,scansorial,direct development,no free-living,no larva,0.185795805776408
84,Hynobius_abei,3.14666666666667,2.22833333333333,56.3333333333333,1.54743803935098,3,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Hynobius,abei,nocturnal,terrestrial,metamorphosizing,free-living,lentic water,0.0521692239868703
85,Hynobius_amjiensis,4.095,2.64,82,2.29955883157793,1,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Hynobius,amjiensis,NA,terrestrial,metamorphosizing,free-living,lentic water,0.0249659021572637
86,Hynobius_chinensis,3.44,2.23666666666667,64.3333333333333,1.78137542236894,3,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Hynobius,chinensis,NA,terrestrial,metamorphosizing,free-living,lentic water,0.0179550484198742
87,Hynobius_kimurae,3.735,2.50666666666667,69.3333333333333,1.99045197950593,3,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Hynobius,kimurae,NA,terrestrial,metamorphosizing,free-living,lotic water,0.0392026674169478
88,Hynobius_leechii,3.10666666666667,2.02,55,1.48297822749714,3,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Hynobius,leechii,nocturnal,terrestrial,metamorphosizing,free-living,lentic water,0.0203706357323243
89,Hynobius_lichenatus,3.40666666666667,2.27333333333333,63,1.56836721373127,3,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Hynobius,lichenatus,nocturnal,terrestrial,metamorphosizing,free-living,lentic water,0.0574326090811875
90,Hynobius_naevius,3.635,2.305,70,2,1,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Hynobius,naevius,nocturnal,terrestrial,metamorphosizing,free-living,lotic water,0.00155892999009472
91,Hynobius_nebulosus,2.85166666666667,1.77166666666667,51,1.50556855835921,3,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Hynobius,nebulosus,nocturnal,terrestrial,metamorphosizing,free-living,lentic water,-0.0404468961446482
92,Hynobius_nigrescens,4.34,2.87,76.6666666666667,2.32910729564008,3,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Hynobius,nigrescens,nocturnal,terrestrial,metamorphosizing,free-living,lentic water,0.0579939784275474
93,Hynobius_sonani,3.49333333333333,2.74666666666667,61,1.49372638643176,3,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Hynobius,sonani,nocturnal,terrestrial,metamorphosizing,free-living,lotic water,0.151987058599061
94,Hynobius_tsuensis,3.60166666666667,2.41,72.6666666666667,1.99640762342255,3,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Hynobius,tsuensis,NA,terrestrial,metamorphosizing,free-living,lotic water,0.0213626537608363
95,Ichthyosaura_alpestris,3.53666666666667,2.37333333333333,46.6666666666667,1.50001152249738,3,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Ichthyosaura,alpestris,nocturnal,semiaquatic,metamorphosizing,free-living,lentic water,0.087471066903403
96,Lissotriton_boscai,2.54,1.77833333333333,31.6666666666667,0.911953904381452,3,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Lissotriton,boscai,both,semiaquatic,metamorphosizing,free-living,lentic water,0.0887938929911778
97,Lissotriton_helveticus,3.29666666666667,2.27166666666667,43.3333333333333,1.40965608594756,3,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Lissotriton,helveticus,both,semiaquatic,metamorphosizing,free-living,lotic water,0.0842706792600325
98,Lissotriton_italicus,2.6125,2.025,33,1.1091152679539,2,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Lissotriton,italicus,both,semiaquatic,metamorphosizing,free-living,lentic water,0.0953852375009746
99,Lissotriton_montandoni,3.64,2.64333333333333,49,1.51136065703116,3,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Lissotriton,montandoni,both,semiaquatic,metamorphosizing,free-living,both,0.132345660084752
100,Lissotriton_vulgaris,3.55,2.625,47.5,1.51212868054567,2,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Lissotriton,vulgaris,both,semiaquatic,metamorphosizing,free-living,lentic water,0.129193719821619
101,Liua_shihi,4.40666666666667,3.24833333333333,84,2.09472701516805,3,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Liua,shihi,NA,semiaquatic,metamorphosizing,free-living,lotic water,0.138769530498261
102,Lyciasalamandra_luschani,5.45166666666667,4.055,79,1.83291331498117,3,Caudata,Salamandroidea,Salamandridae,Salamandrinae,Lyciasalamandra,luschani,nocturnal,terrestrial,direct development,no free-living,no larva,0.269084962208047
103,Mertensiella_caucasica,3.595,2.645,57,1.53545180813751,1,Caudata,Salamandroidea,Salamandridae,Salamandrinae,Mertensiella,caucasica,nocturnal,subfossorial,metamorphosizing,free-living,lotic water,0.128594040716675
104,Necturus_alabamensis,NA,2.595,112,3.02825163179757,1,Caudata,Salamandroidea,Proteidae,Necturinae,Necturus,alabamensis,nocturnal,aquatic,paedomorphic,free-living,lotic water,-0.0525671170157945
105,Necturus_beyeri,NA,2.8125,120,3.15057077725514,2,Caudata,Salamandroidea,Proteidae,Necturinae,Necturus,beyeri,nocturnal,aquatic,paedomorphic,free-living,lotic water,-0.0276912314539972
106,Necturus_lewisi,NA,3.315,152.333333333333,3.71821207565473,3,Caudata,Salamandroidea,Proteidae,Necturinae,Necturus,lewisi,nocturnal,aquatic,paedomorphic,free-living,both,0.00153303339109367
107,Necturus_maculosus,NA,4.18333333333333,210.333333333333,4.92160975979987,3,Caudata,Salamandroidea,Proteidae,Necturinae,Necturus,maculosus,nocturnal,aquatic,paedomorphic,free-living,both,0.0312011085482022
108,Neurergus_crocatus,5.245,3.49,56,1.75332700420673,1,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Neurergus,crocatus,nocturnal,semiaquatic,metamorphosizing,free-living,lotic water,0.215218907170953
109,Neurergus_strauchii,4.80666666666667,3.445,80.3333333333333,2.10585283533842,3,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Neurergus,strauchii,nocturnal,semiaquatic,metamorphosizing,free-living,lotic water,0.162949801385389
110,Notophthalmus_viridescens,3.71333333333333,2.56833333333333,43,1.28650643389946,3,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Notophthalmus,viridescens,both,semiaquatic,metamorphosizing,free-living,lentic water,0.160846241587596
111,Onychodactylus_fischeri,4.57833333333333,3.02666666666667,72,1.78363687555187,3,Caudata,Cryptobranchoidea,Hynobiidae,Onychodactylinae,Onychodactylus,fischeri,NA,semiaquatic,metamorphosizing,free-living,lotic water,0.148995444971549
112,Onychodactylus_japonicus,4.09,2.83166666666667,71.6666666666667,1.84792974193433,3,Caudata,Cryptobranchoidea,Hynobiidae,Onychodactylinae,Onychodactylus,japonicus,NA,terrestrial,metamorphosizing,free-living,lotic water,0.111059378451975
113,Pachyhynobius_shangchengensis,4.87333333333333,2.82666666666667,116.333333333333,3.1720161187641,3,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Pachyhynobius,shangchengensis,nocturnal,aquatic,metamorphosizing,free-living,lotic water,-0.0272358933561177
114,Pachytriton_brevipes,3.62166666666667,2.57333333333333,64,2.02891986234004,3,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Pachytriton,brevipes,nocturnal,aquatic,metamorphosizing,free-living,lotic water,0.0457297876142891
115,Paradactylodon_mustersi,4.72916666666667,3.24333333333333,82.5,2.14134734466507,6,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Paradactylodon,mustersi,NA,aquatic,metamorphosizing,free-living,lentic water,0.132497619390896
116,Paramesotriton_deloustali,6.1,4.135,103,3.03114467665555,2,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Paramesotriton,deloustali,NA,aquatic,metamorphosizing,free-living,both,0.149527976627131
